source,target,from_currency,to_currency,rate_date,rate,TYPE,target_ref_id
Bloomberg,I2OC,THB,USD,2023-08-17T00:00:00.000Z,0.028159,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-17T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-16T00:00:00.000Z,0.5575,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-16T00:00:00.000Z,10.559,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-16T00:00:00.000Z,0.2013,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-16T00:00:00.000Z,0.13701,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-16T00:00:00.000Z,0.045274,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-16T00:00:00.000Z,0.00282,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-16T00:00:00.000Z,0.012032,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-16T00:00:00.000Z,0.0033913,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-16T00:00:00.000Z,0.244,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-16T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-16T00:00:00.000Z,0.7361,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-16T00:00:00.000Z,0.028273,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-16T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-15T00:00:00.000Z,0.5588,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-15T00:00:00.000Z,10.4981,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-15T00:00:00.000Z,0.201,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-15T00:00:00.000Z,0.1373,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-15T00:00:00.000Z,0.045337,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-15T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-15T00:00:00.000Z,0.012032,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-15T00:00:00.000Z,0.0034406,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-15T00:00:00.000Z,0.2438,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-15T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-15T00:00:00.000Z,0.737,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-15T00:00:00.000Z,0.02826,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-15T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-14T00:00:00.000Z,0.5584,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-14T00:00:00.000Z,10.4593,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-14T00:00:00.000Z,0.2018,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-14T00:00:00.000Z,0.13774,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-14T00:00:00.000Z,0.045403,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-14T00:00:00.000Z,0.00284,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-14T00:00:00.000Z,0.012032,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-14T00:00:00.000Z,0.0034723,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-14T00:00:00.000Z,0.2452,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-14T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-14T00:00:00.000Z,0.738,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-14T00:00:00.000Z,0.028378,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-14T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-13T00:00:00.000Z,10.4328,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-13T00:00:00.000Z,0.2043,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-13T00:00:00.000Z,0.13815,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-13T00:00:00.000Z,0.045508,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-13T00:00:00.000Z,0.00287,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-13T00:00:00.000Z,0.012075,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-13T00:00:00.000Z,0.003472,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-13T00:00:00.000Z,0.2471,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-13T00:00:00.000Z,0.0094,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-13T00:00:00.000Z,0.7393,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-13T00:00:00.000Z,0.028466,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-13T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-13T00:00:00.000Z,0.5602,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-12T00:00:00.000Z,10.4328,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-12T00:00:00.000Z,0.2043,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-12T00:00:00.000Z,0.13815,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-12T00:00:00.000Z,0.045508,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-12T00:00:00.000Z,0.00287,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-12T00:00:00.000Z,0.012075,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-12T00:00:00.000Z,0.003472,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-12T00:00:00.000Z,0.2471,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-12T00:00:00.000Z,0.0094,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-12T00:00:00.000Z,0.7393,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-12T00:00:00.000Z,0.028466,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-12T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-12T00:00:00.000Z,0.5602,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-11T00:00:00.000Z,0.2043,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-11T00:00:00.000Z,0.13815,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-11T00:00:00.000Z,0.045508,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-11T00:00:00.000Z,0.00287,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-11T00:00:00.000Z,0.012075,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-11T00:00:00.000Z,0.0034723,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-11T00:00:00.000Z,0.2471,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-11T00:00:00.000Z,0.0094,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-11T00:00:00.000Z,0.7393,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-11T00:00:00.000Z,0.028466,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-11T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-11T00:00:00.000Z,0.5602,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-11T00:00:00.000Z,10.4328,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-10T00:00:00.000Z,0.5632,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-10T00:00:00.000Z,10.2322,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-10T00:00:00.000Z,0.2063,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-10T00:00:00.000Z,0.13855,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-10T00:00:00.000Z,0.045475,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-10T00:00:00.000Z,0.00287,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-10T00:00:00.000Z,0.012098,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-10T00:00:00.000Z,0.0034786,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-10T00:00:00.000Z,0.2475,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-10T00:00:00.000Z,0.0094,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-10T00:00:00.000Z,0.7422,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-10T00:00:00.000Z,0.028504,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-10T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-09T00:00:00.000Z,0.5612,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-09T00:00:00.000Z,10.2222,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-09T00:00:00.000Z,0.2039,FIX,F120
